,LoanID,Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,Education,EmploymentType,MaritalStatus,HasMortgage,HasDependents,LoanPurpose,HasCoSigner,Default
170,PY0C08S9G2,46,15192,152778,734,115,2,22.42,60,0.47,PhD,Part-time,Married,Yes,No,Auto,Yes,1
177,8T3I0PTR35,45,107954,100080,609,18,4,16.02,48,0.29,High School,Full-time,Single,No,Yes,Home,Yes,1
178,8VKPI6WZUY,19,25678,134161,705,63,3,21.18,60,0.2,Bachelor's,Full-time,Divorced,Yes,No,Education,No,1
180,L5KGFM6KRD,62,58724,92125,674,77,2,20.87,24,0.26,High School,Unemployed,Married,Yes,No,Other,Yes,1
199,EMQV99WWV5,56,107124,249352,317,24,4,18.13,60,0.86,High School,Full-time,Divorced,No,No,Education,No,1
203,UK4OH3F6QS,26,47398,155340,334,88,3,15.39,36,0.75,PhD,Full-time,Married,No,Yes,Other,No,1
210,T94W6YTVZJ,32,125786,239618,338,73,4,7.99,36,0.79,High School,Self-employed,Divorced,Yes,No,Business,No,1
222,SA71L2XLZ2,20,101465,179673,366,13,2,24.03,24,0.6,PhD,Full-time,Married,Yes,Yes,Education,No,1
226,HOMRI5ZWJN,34,117943,231285,337,81,1,14.66,48,0.9,Bachelor's,Self-employed,Married,Yes,Yes,Education,No,1
245,H2L9D20SWT,34,75449,214723,466,9,4,13.31,24,0.61,PhD,Unemployed,Single,No,No,Other,No,1
251,ZTUHI6CYPN,23,74090,205698,571,39,3,16.93,36,0.62,Bachelor's,Part-time,Single,No,Yes,Home,Yes,1
261,FZTU40EMDO,20,18625,58127,643,84,4,12.12,60,0.55,Bachelor's,Unemployed,Married,Yes,No,Other,No,1
267,YUSOXYNZ8S,36,36766,238080,841,7,2,10.38,24,0.3,High School,Self-employed,Married,Yes,No,Business,Yes,1
280,UZUW6Q652D,45,146321,148088,304,106,2,18.69,24,0.5,PhD,Part-time,Married,Yes,No,Education,No,1
323,OF97S6UIZS,52,125986,138424,745,99,3,14.46,36,0.88,High School,Full-time,Married,No,Yes,Auto,Yes,1
337,J7C6VENGA7,31,94001,186700,808,26,4,9.97,60,0.41,High School,Full-time,Divorced,Yes,No,Business,Yes,1
347,D1YUL3KAXH,29,76596,161843,374,67,4,19.31,48,0.21,Bachelor's,Full-time,Married,Yes,No,Other,No,1
353,VG1SKR3YP0,55,144351,153788,814,35,3,16.42,48,0.55,Master's,Self-employed,Divorced,Yes,No,Other,No,1
361,VQV9D7EKI1,38,37962,143441,679,17,2,17.12,24,0.3,Master's,Full-time,Divorced,No,Yes,Education,Yes,1
366,JLQY46QMF8,50,18906,194770,635,4,3,10.52,12,0.48,Bachelor's,Self-employed,Divorced,Yes,No,Auto,No,1
367,BLQBPDCVI7,22,28117,212209,695,83,3,22.09,48,0.15,Bachelor's,Unemployed,Married,Yes,No,Other,Yes,1
375,E4O8XT853B,45,66737,20903,413,108,4,10.26,24,0.8,PhD,Unemployed,Single,No,No,Business,Yes,1
376,55QXQCYB9R,47,111570,105113,551,50,3,14.17,48,0.82,PhD,Full-time,Divorced,No,No,Auto,Yes,1
377,0A8R85UWUK,46,21073,52020,773,115,1,5.07,12,0.2,Master's,Part-time,Married,Yes,No,Business,Yes,1
389,SFFFHRLQX8,50,80680,175937,732,11,3,14.5,12,0.38,Bachelor's,Unemployed,Divorced,Yes,No,Other,No,1
400,TJ35Z2OW75,20,70614,112869,506,60,1,8.09,36,0.78,High School,Part-time,Divorced,Yes,Yes,Education,Yes,1
420,8ZVJNGSJ0Y,56,60506,226352,505,58,3,18.01,60,0.38,Bachelor's,Self-employed,Divorced,No,No,Education,Yes,1
448,PBJZ9UJY6G,68,145503,183534,316,18,3,18.11,36,0.44,Bachelor's,Self-employed,Single,No,Yes,Education,No,1
460,IKILYWC4L2,25,101427,108922,676,58,3,21.2,12,0.39,Bachelor's,Self-employed,Single,Yes,No,Business,Yes,1
463,E6HZS2CVK4,22,78113,152672,648,11,2,10.59,60,0.55,Bachelor's,Part-time,Single,No,No,Home,Yes,1
480,JD3KD78VZ6,36,25188,160349,452,1,4,19.17,12,0.18,High School,Part-time,Divorced,No,Yes,Education,Yes,1
483,SOC12VRRCH,45,16293,96872,420,90,1,7.78,24,0.54,Bachelor's,Part-time,Divorced,Yes,No,Auto,No,1
491,P5LXL995UO,18,50554,97542,806,19,3,11.42,48,0.61,Master's,Unemployed,Married,Yes,Yes,Home,No,1
499,6C4RPPAFYT,18,43449,185965,794,50,2,20.46,24,0.58,PhD,Full-time,Single,No,No,Other,Yes,1
515,57PNK6I3ZO,22,53070,240525,646,29,4,19.45,60,0.67,Master's,Self-employed,Married,Yes,Yes,Home,Yes,1
528,1WI7TV5RW2,56,119186,161509,594,58,4,22.22,48,0.37,Bachelor's,Self-employed,Divorced,Yes,No,Home,Yes,1
543,457K8IFCP1,18,143478,112408,424,53,3,24.69,12,0.77,Master's,Unemployed,Married,No,Yes,Other,Yes,1
546,ETX4NW3PC3,21,113705,190061,761,85,3,3.67,12,0.43,Bachelor's,Unemployed,Married,No,Yes,Auto,Yes,1
557,NYFNIG01X8,29,70149,64556,493,43,2,5.09,24,0.24,PhD,Full-time,Single,Yes,Yes,Home,No,1
566,FRG0J5HRSC,20,20896,63256,802,53,4,18.0,60,0.48,High School,Unemployed,Single,Yes,Yes,Business,No,1
581,MM3IZQEBBS,52,33958,247790,833,44,1,22.6,12,0.64,Bachelor's,Self-employed,Divorced,No,No,Education,No,1
585,ODED3DOENT,25,26990,137843,387,57,2,15.82,12,0.58,Master's,Unemployed,Married,No,Yes,Auto,No,1
593,0XDG6EEKI1,24,36821,210620,326,89,2,16.17,12,0.18,Bachelor's,Part-time,Divorced,Yes,No,Other,Yes,1
605,P0PRC9Q0FY,26,82611,47555,574,90,2,22.18,36,0.25,Bachelor's,Self-employed,Single,Yes,No,Auto,Yes,1
609,P3JUFHO6PK,52,132976,200185,330,88,3,9.33,36,0.18,High School,Part-time,Single,No,Yes,Home,No,1
618,U67AWK64TW,49,16677,87236,661,96,3,24.43,24,0.64,Bachelor's,Part-time,Married,Yes,No,Business,No,1
624,C7Y7P7CYSO,42,82659,173411,352,58,1,23.51,24,0.66,Master's,Unemployed,Single,Yes,Yes,Other,No,1
630,WAJ2MSQ7RO,37,114988,132196,440,13,1,23.41,60,0.3,High School,Unemployed,Married,No,Yes,Auto,No,1
638,A85A9QB3J5,29,36131,187481,313,14,3,2.36,12,0.37,Bachelor's,Unemployed,Divorced,No,Yes,Education,Yes,1
648,SLMQJ3U599,36,97891,79397,412,52,3,22.22,12,0.25,High School,Part-time,Married,No,No,Other,Yes,1
651,62UIBIHXWI,22,134935,132709,344,14,3,4.63,24,0.5,PhD,Unemployed,Married,Yes,No,Auto,No,1
653,PVT2GG3LB1,29,36472,227183,569,63,2,4.47,12,0.63,Bachelor's,Part-time,Married,Yes,No,Education,Yes,1
669,LJYVQM3FKQ,46,19198,16132,669,7,2,3.78,12,0.68,Bachelor's,Self-employed,Single,No,Yes,Auto,Yes,1
671,UJYY4LPOZW,28,132930,153620,783,111,3,20.31,36,0.53,High School,Full-time,Single,No,Yes,Business,No,1
672,PFVIH6MW2T,35,83909,40691,431,35,2,23.32,24,0.72,Bachelor's,Unemployed,Divorced,No,No,Business,Yes,1
679,Z4ZI2OS310,55,38306,102159,504,23,2,19.26,12,0.87,Master's,Part-time,Married,No,No,Auto,No,1
686,2N28Q0TGJK,67,88378,128283,455,55,2,19.26,24,0.52,Master's,Full-time,Divorced,No,No,Home,No,1
688,8O1QPWCWYC,19,44942,174008,368,50,4,14.23,60,0.21,High School,Part-time,Single,No,Yes,Other,No,1
689,F9VVMJSNSS,22,32454,223883,629,32,1,20.27,24,0.72,Bachelor's,Part-time,Single,No,Yes,Auto,No,1
697,95TOWRWJNS,18,120840,13027,663,63,2,20.29,24,0.45,Bachelor's,Unemployed,Divorced,Yes,No,Other,No,1
706,QSGPPNOK1C,23,19611,213162,809,8,3,19.94,12,0.71,High School,Self-employed,Single,No,Yes,Auto,No,1
711,JW6HWTZDKD,44,108365,65041,448,1,3,6.83,60,0.37,Master's,Unemployed,Divorced,No,Yes,Business,No,1
712,VH80M08JGN,27,74053,80444,495,117,3,16.9,48,0.15,Bachelor's,Part-time,Single,Yes,No,Other,No,1
723,9GFTMACQVE,25,94821,174217,843,59,3,23.54,36,0.34,PhD,Part-time,Divorced,Yes,Yes,Education,Yes,1
737,GHQO4YSOVS,49,106471,160262,642,53,1,15.6,48,0.74,Bachelor's,Self-employed,Married,No,Yes,Other,Yes,1
743,2CP27VTPK3,28,77002,82577,653,11,1,16.17,24,0.35,High School,Unemployed,Divorced,Yes,Yes,Auto,No,1
744,XV3HI1SVLY,54,113642,58679,569,82,2,19.85,24,0.15,High School,Part-time,Single,Yes,Yes,Business,No,1
751,26O6AEWA9J,58,86137,80907,673,82,2,20.61,12,0.15,PhD,Full-time,Married,No,Yes,Business,Yes,1
756,ZBOOTQ4870,18,109479,218820,312,27,1,20.69,60,0.83,Master's,Unemployed,Married,Yes,Yes,Auto,No,1
765,P9L4U6L4KB,25,80934,249065,364,33,1,11.51,60,0.85,Master's,Unemployed,Divorced,No,No,Auto,Yes,1
783,6DXSUN6BJH,26,138475,225937,495,33,1,20.16,36,0.6,Bachelor's,Unemployed,Divorced,No,Yes,Home,No,1
787,NXUGONSCVU,45,90796,97171,736,21,4,20.93,24,0.51,Bachelor's,Unemployed,Divorced,Yes,No,Education,No,1
793,QF7N49LCOY,23,104341,51096,334,76,4,17.35,48,0.22,Master's,Full-time,Divorced,No,Yes,Other,Yes,1
794,82ARHQQ5X3,35,30091,29306,441,25,2,18.36,48,0.51,Bachelor's,Part-time,Married,Yes,Yes,Auto,No,1
801,Y2YJNJ1WPZ,47,15680,180592,324,115,4,7.36,60,0.58,PhD,Self-employed,Married,No,Yes,Business,No,1
815,X2XZE6US84,39,88630,211642,482,77,1,18.25,48,0.14,Master's,Part-time,Single,Yes,No,Other,No,1
818,G5RZYYS1VE,30,111951,128924,571,108,4,14.64,48,0.83,PhD,Self-employed,Married,Yes,Yes,Business,No,1
833,7C2BCFZDVJ,20,123797,61278,507,45,3,7.1,12,0.73,Master's,Unemployed,Divorced,Yes,Yes,Business,No,1
839,KNKGIES0K8,36,49690,122050,409,96,4,10.09,36,0.48,PhD,Full-time,Divorced,Yes,No,Education,Yes,1
842,Y9K72ZBBLE,31,17909,120897,694,94,1,23.73,24,0.85,Bachelor's,Unemployed,Divorced,No,No,Other,No,1
849,JJATNATR17,21,27533,205199,507,80,2,9.79,48,0.77,Master's,Part-time,Single,Yes,No,Other,No,1
861,BXW370X5JB,20,124823,151232,416,22,2,24.32,36,0.17,PhD,Unemployed,Divorced,Yes,No,Auto,No,1
863,OPIKDZAV2B,29,64941,200048,497,45,4,24.47,36,0.34,PhD,Self-employed,Divorced,No,No,Education,No,1
864,Y60WAGDF8J,18,65143,106510,591,115,1,23.29,12,0.28,PhD,Unemployed,Married,No,Yes,Business,No,1
872,D18MVIJHEV,40,120344,56710,717,21,3,7.36,24,0.16,PhD,Unemployed,Divorced,No,Yes,Business,Yes,1
876,W4WU1VCZ05,31,16294,76789,566,66,1,18.68,60,0.59,Master's,Unemployed,Married,No,Yes,Home,No,1
878,DZYNJXPC2S,28,56921,174949,627,95,2,20.98,36,0.54,Master's,Unemployed,Married,Yes,No,Other,Yes,1
886,ARP38C897J,35,132208,98136,473,88,1,18.36,24,0.21,High School,Part-time,Single,Yes,Yes,Other,Yes,1
888,FHXQGYUL5Y,32,15584,158198,616,8,2,23.36,60,0.8,PhD,Full-time,Divorced,No,No,Home,No,1
895,IK81SLGAUS,41,105153,218518,739,101,4,15.7,48,0.62,Bachelor's,Self-employed,Single,Yes,Yes,Home,Yes,1
896,B50ERLVGZQ,32,148189,205917,398,50,2,22.45,36,0.26,High School,Self-employed,Single,Yes,No,Other,No,1
910,35A5JXBRRS,22,33703,191417,580,65,2,14.85,60,0.69,Master's,Unemployed,Divorced,No,No,Education,Yes,1
911,PF5NNK7L8B,51,118540,113482,482,117,3,21.58,24,0.54,PhD,Full-time,Married,No,Yes,Other,No,1
922,H22RS6N25R,33,21547,231309,450,84,4,22.27,60,0.62,High School,Self-employed,Married,No,Yes,Other,No,1
924,CFGL5OSWUS,28,83296,33184,760,34,2,22.87,60,0.37,Master's,Full-time,Divorced,Yes,No,Business,No,1
940,U64QW87XLT,38,69016,151210,438,23,3,20.11,36,0.34,Master's,Part-time,Married,No,No,Other,No,1
948,H6ZC6DCOET,18,127555,148097,374,7,4,22.5,24,0.73,PhD,Full-time,Single,No,Yes,Auto,Yes,1
949,CCBLKWDS4N,22,146381,77749,641,42,2,10.63,48,0.36,Master's,Part-time,Married,No,No,Education,No,1
978,R915XIQXGY,39,26296,159406,447,89,3,3.19,48,0.61,Bachelor's,Part-time,Divorced,Yes,No,Education,Yes,1
979,VH4ILD12SW,31,17216,151972,364,84,2,11.33,60,0.41,Bachelor's,Part-time,Divorced,Yes,Yes,Business,No,1
980,DU8Z16SPNZ,43,49123,114363,687,39,3,23.89,12,0.74,Master's,Self-employed,Married,No,No,Education,Yes,1
988,7PI14IVBRQ,31,64116,99949,328,81,2,17.6,12,0.62,Bachelor's,Full-time,Single,No,Yes,Home,Yes,1
1009,2ILZV1BA7Z,56,121596,116472,513,72,1,24.77,36,0.12,High School,Full-time,Married,No,No,Other,Yes,1
1011,D1U2DTSWC3,43,35293,218458,450,12,4,20.5,60,0.6,Bachelor's,Self-employed,Divorced,Yes,Yes,Auto,Yes,1
1047,7RYDD8SVKG,38,95633,249372,564,40,4,24.43,48,0.15,High School,Self-employed,Divorced,Yes,Yes,Auto,Yes,1
1058,JTMKZGU8BU,20,20136,149027,676,49,3,4.27,36,0.54,Bachelor's,Unemployed,Married,No,Yes,Other,No,1
1071,MCQNH73O2E,21,95198,48897,818,75,2,18.73,48,0.22,Bachelor's,Self-employed,Married,No,Yes,Auto,Yes,1
1076,QDHK4BIJWD,55,129587,206917,709,111,3,22.75,24,0.34,High School,Full-time,Divorced,Yes,No,Home,No,1
1078,FCGFHE7F4D,19,22753,215805,413,3,1,17.99,48,0.9,Master's,Full-time,Single,No,Yes,Home,Yes,1
1083,JQ038SOGKN,68,25729,118704,816,8,3,20.61,24,0.26,PhD,Full-time,Divorced,Yes,No,Other,No,1
1092,FDBOGSIB9T,50,122728,57501,624,73,2,4.7,48,0.61,Master's,Part-time,Divorced,Yes,No,Business,No,1
1115,1CGA6SEMTA,19,143266,133309,344,48,2,5.89,48,0.35,PhD,Unemployed,Single,Yes,Yes,Auto,No,1
1124,0BSK1ALGUN,26,40287,178649,758,54,3,21.99,12,0.29,High School,Full-time,Single,Yes,No,Auto,No,1
1144,4Y1Z9A7X3J,57,126343,32417,313,40,4,15.61,24,0.45,Bachelor's,Self-employed,Divorced,No,Yes,Auto,No,1
1147,8C82BIRII1,25,32808,109430,690,39,4,16.31,24,0.15,Bachelor's,Self-employed,Single,Yes,Yes,Education,No,1
1148,O1PW5TOG6R,28,134947,243678,622,35,1,9.69,36,0.62,Master's,Unemployed,Divorced,Yes,No,Other,No,1
1161,1BIUYM2XAW,42,15708,244029,487,71,4,4.38,24,0.59,PhD,Self-employed,Single,No,No,Auto,No,1
1192,0YPQG4TYC0,24,25105,146004,532,110,3,19.77,24,0.87,Master's,Unemployed,Married,No,No,Other,Yes,1
1221,DV59DCXNSP,48,125395,219103,662,108,1,13.97,12,0.78,Bachelor's,Part-time,Married,Yes,Yes,Business,No,1
1233,EZE85UYLZ0,21,127769,91780,467,51,1,21.92,48,0.63,Master's,Full-time,Single,Yes,Yes,Education,Yes,1
1241,ESTOJP9MPP,53,31561,86412,791,76,2,23.17,36,0.39,Master's,Unemployed,Divorced,No,Yes,Education,Yes,1
1246,NQRV4CRX62,22,60593,45137,730,102,2,14.99,36,0.6,PhD,Self-employed,Single,Yes,Yes,Other,No,1
1247,CXMRXU2L9K,37,43976,107889,339,27,1,4.06,60,0.28,PhD,Self-employed,Married,Yes,No,Home,No,1
1252,Q7Z5NWYBCZ,23,113761,109291,669,0,2,24.3,36,0.19,PhD,Unemployed,Divorced,No,No,Education,Yes,1
1273,JTC2WTIB3F,21,112071,162185,834,59,1,24.09,60,0.69,Master's,Full-time,Single,Yes,No,Education,Yes,1
1275,Z0L7GLUCNJ,54,19162,203075,643,23,3,16.97,24,0.1,High School,Self-employed,Single,No,No,Other,No,1
1281,GXH1RV5I3H,26,96165,23048,462,43,2,14.45,48,0.21,High School,Self-employed,Married,Yes,No,Home,No,1
1298,RMIDP4M6KH,18,137855,65904,683,17,2,23.18,48,0.5,PhD,Self-employed,Divorced,Yes,Yes,Auto,No,1
1299,4D6I91OZGB,68,17572,197616,529,100,4,19.55,36,0.17,Bachelor's,Self-employed,Divorced,Yes,Yes,Business,Yes,1
1317,U5XRPN8MAY,24,56908,110694,697,1,1,18.15,12,0.61,High School,Part-time,Single,No,No,Education,Yes,1
1327,HGL0NB2JFQ,42,74550,147553,335,11,2,13.05,36,0.37,High School,Part-time,Divorced,No,No,Home,Yes,1
1336,Q4X531F199,39,88168,91796,630,27,3,18.22,60,0.86,Master's,Self-employed,Single,No,No,Business,No,1
1359,7SXDZ9SJ6V,36,120804,77199,796,95,3,7.59,12,0.55,High School,Unemployed,Single,Yes,No,Education,Yes,1
1363,TX5TYNICG4,66,91625,15179,395,62,4,24.95,48,0.53,Bachelor's,Part-time,Divorced,No,Yes,Education,No,1
1380,36DX419BG7,47,120687,247525,499,47,1,24.65,12,0.2,Bachelor's,Part-time,Married,No,Yes,Education,Yes,1
1384,TYTSV6AURU,18,48455,228119,835,44,2,10.0,48,0.17,Master's,Self-employed,Divorced,No,Yes,Auto,No,1
1394,LREKRY170M,51,35926,233188,491,20,4,19.04,60,0.84,PhD,Unemployed,Married,Yes,Yes,Other,No,1
1403,DJMUIWJSMQ,18,131596,106256,800,29,4,22.68,48,0.64,Master's,Unemployed,Single,No,Yes,Auto,No,1
1405,BZLKDSNH0G,41,22029,114172,422,27,2,12.19,36,0.28,PhD,Part-time,Single,No,No,Home,No,1
1415,HFNX9DULSJ,25,60573,153517,614,54,1,22.99,36,0.85,Master's,Self-employed,Single,Yes,Yes,Education,No,1
1418,PU2Q9O4MEQ,49,104783,172196,729,39,3,18.57,48,0.69,Master's,Unemployed,Divorced,No,No,Home,No,1
1422,3OWF7EAP27,63,28936,216432,665,20,2,14.73,48,0.51,High School,Part-time,Married,No,No,Other,No,1
1428,C5EJRWDERY,38,16718,198480,330,1,2,6.78,60,0.74,Bachelor's,Full-time,Married,Yes,Yes,Business,Yes,1
1434,28A0XMGZZG,27,51347,244846,545,99,3,3.37,12,0.26,Bachelor's,Self-employed,Single,Yes,No,Home,Yes,1
1446,7A4F1L91QM,18,138455,130971,387,92,2,21.6,36,0.53,Master's,Part-time,Married,No,No,Auto,Yes,1
1461,YZE8PD2HXD,26,67389,5750,783,57,3,13.58,24,0.28,PhD,Part-time,Single,No,No,Business,Yes,1
1471,M98VLJ4UIZ,47,95650,175485,508,114,4,8.51,48,0.67,PhD,Part-time,Divorced,No,Yes,Business,No,1
1478,L3TJIDIIV0,34,99178,243471,348,17,1,22.88,48,0.25,High School,Part-time,Divorced,No,Yes,Business,No,1
1481,W0IX5OS06Q,57,54761,171874,612,66,2,12.74,60,0.14,Bachelor's,Part-time,Single,No,No,Home,Yes,1
1486,VIN98D9A9Y,26,127405,54710,378,84,4,6.31,24,0.34,Master's,Full-time,Single,Yes,No,Business,Yes,1
1498,R1CRA6IVJT,23,58412,103663,717,84,2,21.93,60,0.12,Bachelor's,Unemployed,Married,Yes,No,Auto,No,1
1508,Q3RIZ7AMD2,42,15887,139093,618,24,1,23.89,12,0.26,PhD,Unemployed,Married,No,No,Home,No,1
1510,L5G54OTSGM,29,15729,121406,417,18,1,22.45,60,0.6,Bachelor's,Self-employed,Married,No,No,Education,No,1
1517,56ZETVU74T,23,64408,103350,500,22,3,20.39,12,0.85,Bachelor's,Self-employed,Married,No,No,Education,No,1
1520,7D4592WHZF,51,104765,138086,507,10,3,7.66,24,0.1,High School,Self-employed,Divorced,Yes,Yes,Auto,No,1
1523,QMUN4A0VS5,24,52667,163008,622,94,4,21.86,60,0.38,Bachelor's,Unemployed,Single,No,No,Education,No,1
1524,LHXUVXVA4M,27,130504,226547,513,104,3,14.72,48,0.75,Master's,Full-time,Single,Yes,Yes,Home,Yes,1
1528,O56UFUB3O6,38,62454,39658,411,55,3,8.6,60,0.81,Master's,Unemployed,Divorced,No,No,Other,No,1
1529,CIAT86G796,45,92532,129754,350,28,4,2.26,36,0.75,Bachelor's,Full-time,Single,No,Yes,Business,Yes,1
1552,G19F3U08D4,22,80209,221444,361,1,3,20.08,60,0.81,PhD,Self-employed,Single,Yes,No,Home,No,1
1568,G6P42HFR5P,26,113475,138733,596,79,3,14.22,24,0.27,Bachelor's,Part-time,Single,Yes,Yes,Other,Yes,1
1569,2OHT6U9JHM,26,62303,211360,736,102,2,4.98,48,0.47,High School,Part-time,Single,Yes,No,Education,Yes,1
1602,KRCACMUFL0,25,146565,162844,324,22,2,19.9,24,0.72,Master's,Unemployed,Divorced,Yes,No,Auto,No,1
1605,158YHP7WBT,34,30523,147667,472,114,4,7.35,60,0.9,PhD,Full-time,Divorced,Yes,No,Auto,Yes,1
1606,DMT9PXNU6B,40,49925,74086,548,12,4,23.62,48,0.39,Master's,Full-time,Divorced,Yes,Yes,Business,Yes,1
1616,1DOX169XAX,43,114716,99867,755,4,4,23.62,24,0.14,Bachelor's,Part-time,Married,No,Yes,Business,No,1
1622,GDC9JTTLJ8,27,30255,231252,531,42,2,5.47,36,0.54,PhD,Full-time,Married,No,Yes,Other,Yes,1
1629,HD9ZH6NU73,39,31183,112184,703,107,2,21.2,24,0.84,Bachelor's,Self-employed,Married,No,No,Auto,Yes,1
1632,ED38FVWY7Q,32,81902,169084,743,70,3,20.58,36,0.75,Bachelor's,Unemployed,Single,No,No,Home,Yes,1
1634,H2ZR8UAOZL,26,16828,180465,506,98,3,23.04,60,0.73,High School,Part-time,Single,No,No,Other,No,1
1647,3MWONQHYNV,35,94815,130069,418,0,4,13.03,36,0.79,Bachelor's,Unemployed,Single,No,No,Home,Yes,1
1651,02530P92JZ,31,32788,92658,397,72,3,22.0,12,0.33,PhD,Unemployed,Single,Yes,Yes,Home,No,1
1658,BKKC241LEP,20,127063,153729,304,15,1,22.43,24,0.32,PhD,Unemployed,Divorced,Yes,No,Business,Yes,1
1662,LND3KFGQEY,43,78349,67730,391,77,3,23.94,24,0.89,High School,Part-time,Divorced,No,Yes,Auto,No,1
1668,LBCJTG41AW,21,41540,243397,777,29,2,10.86,60,0.49,High School,Self-employed,Divorced,Yes,No,Business,Yes,1
1673,I3PG3EKU0T,35,110334,82024,542,33,2,14.38,48,0.61,Master's,Full-time,Divorced,No,No,Auto,Yes,1
1674,XKXARPZMG9,50,44158,233285,832,73,4,14.7,48,0.29,Bachelor's,Unemployed,Divorced,Yes,Yes,Home,Yes,1
1676,2OVCOLPECK,62,80074,128899,835,27,1,16.04,60,0.39,Master's,Self-employed,Single,Yes,No,Home,No,1
1685,C1MKWSQDT2,30,50375,202879,308,57,3,10.53,48,0.31,Master's,Part-time,Married,Yes,Yes,Education,Yes,1
1701,OOFOPLFQ50,47,74978,196012,445,104,3,17.63,36,0.78,Bachelor's,Part-time,Single,No,Yes,Auto,No,1
1706,RYM68L7KXE,18,23994,181103,688,4,1,21.26,12,0.39,High School,Part-time,Divorced,Yes,Yes,Business,Yes,1
1709,KOCV4X0JST,20,116841,110201,606,38,2,20.52,48,0.72,Master's,Unemployed,Single,No,No,Education,No,1
1711,Y2N5A8XTW4,31,99993,92575,808,88,3,20.39,36,0.86,Master's,Unemployed,Single,No,No,Home,Yes,1
1719,HBXAGFI6ZT,18,21472,227904,680,41,1,13.94,24,0.16,PhD,Part-time,Married,No,Yes,Auto,Yes,1
1726,QOQCVZ2VJA,21,102130,114675,594,31,1,20.32,60,0.35,High School,Self-employed,Divorced,Yes,Yes,Auto,No,1
1728,GUZ3IX4WPE,54,19994,149647,325,80,4,14.68,48,0.88,Bachelor's,Unemployed,Divorced,Yes,Yes,Business,No,1
1739,5NJXGE4JQJ,24,28202,56376,629,44,3,22.95,12,0.65,High School,Full-time,Divorced,No,Yes,Other,Yes,1
1741,W4HNE8XVXK,21,60616,215199,786,11,4,14.25,36,0.29,PhD,Full-time,Single,No,Yes,Home,No,1
1778,7VSK5GTPO3,26,24044,162775,839,119,4,3.34,12,0.7,Bachelor's,Self-employed,Single,Yes,No,Education,No,1
1791,UV1CIERJ3T,51,15929,226940,616,27,3,12.84,24,0.45,High School,Unemployed,Married,Yes,No,Home,No,1
1795,C64EFFNIGI,32,39658,238520,733,23,3,6.52,12,0.69,High School,Part-time,Married,No,No,Other,No,1
1798,0M0CDB47CC,22,26541,23230,760,69,1,23.34,36,0.54,High School,Full-time,Married,No,No,Business,Yes,1
1810,2CS05B7DAN,54,65624,230269,659,15,4,19.55,12,0.54,High School,Self-employed,Single,No,No,Business,No,1
1812,AQLXR7NWR9,30,27428,240278,494,16,1,24.03,48,0.6,High School,Unemployed,Divorced,Yes,Yes,Auto,Yes,1
